[2018-11-30 01:47:38] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:42] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:43] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:43] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:44] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:45] ::1 root accessed dir ./USBKeys/Rack1_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:46] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:46] ::1 root accessed dir ./USBKeys/Rack1_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:48] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:49] ::1 root accessed dir ./USBKeys/Rack1_Usb2/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:47:50] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:04] ::1 root accessed dir ./USBKeys/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:09] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:12] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:13] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:15] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:32] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:33] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:33] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:33] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:34] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:35] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:47] ::1 root accessed dir ./Rack1_Usb6/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:59] ::1 root accessed dir ./Rack1_Usb6/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:48:59] ::1 root created dir ./Rack1_Usb6/test (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:01] ::1 root accessed dir ./Rack1_Usb6/test/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:06] ::1 root accessed dir ./Rack1_Usb6/test/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:06] ::1 root created file ./Rack1_Usb6/test/ah - Copie.txt (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:09] ::1 root accessed dir ./Rack1_Usb6/test/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:09] ::1 root created file ./Rack1_Usb6/test/ah.png (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:10] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:28] ::1 root accessed dir ./Rack1_Usb1/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
[2018-11-30 01:49:31] ::1 root accessed dir ./ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36)
